Alice,101,5,9876543210,Maths,Physics,C,4,5,5,24,26,31,32,36,31,75,80,70,76,81,76,8.36
Bob,102,5,8765432109,Maths,Physics,C,4,5,5,39,27,28,36,19,21,78,75,72,87,71,71,8.29
Charlie,103,5,7654321098,Maths,Physics,C,4,5,5,38,37,20,16,18,29,70,72,68,72,74,69,7.65
David,104,5,6543210987,Maths,Physics,C,4,5,5,20,37,31,35,25,24,80,85,75,78,84,75,8.36
Eve,105,5,5432109876,Maths,Physics,C,4,5,5,24,26,34,35,32,31,77,79,74,78,79,80,8
Frank,106,5,4321098765,Maths,Physics,C,4,5,5,37,28,19,20,38,25,72,70,68,75,78,66,7.65
Grace,107,5,3210987654,Maths,Physics,C,4,5,5,28,35,24,28,24,29,78,80,77,77,80,75,8
Hank,108,5,2109876543,Maths,Physics,C,4,5,5,26,24,30,30,37,36,73,75,70,75,78,78,8
Ivy,109,5,1098765432,Maths,Physics,C,4,5,5,28,29,34,33,33,21,81,82,80,81,82,78,8.65
Jack,110,5,1987654321,Maths,Physics,C,4,5,5,37,26,37,35,30,29,79,78,76,86,77,81,8.65
